Name;Type;DLL;SymbolOrOrdinal
ClosePackageInfo;code;api-ms-win-appmodel-runtime-l1-1-0.dll;
GetApplicationUserModelId;code;api-ms-win-appmodel-runtime-l1-1-0.dll;
GetCurrentApplicationUserModelId;code;api-ms-win-appmodel-runtime-l1-1-0.dll;
GetCurrentPackageFamilyName;code;api-ms-win-appmodel-runtime-l1-1-0.dll;
GetCurrentPackageFullName;code;api-ms-win-appmodel-runtime-l1-1-0.dll;
GetCurrentPackageId;code;api-ms-win-appmodel-runtime-l1-1-0.dll;
GetCurrentPackageInfo;code;api-ms-win-appmodel-runtime-l1-1-0.dll;
GetCurrentPackagePath;code;api-ms-win-appmodel-runtime-l1-1-0.dll;
GetPackageFamilyName;code;api-ms-win-appmodel-runtime-l1-1-0.dll;
GetPackageFullName;code;api-ms-win-appmodel-runtime-l1-1-0.dll;
GetPackageId;code;api-ms-win-appmodel-runtime-l1-1-0.dll;
GetPackageInfo;code;api-ms-win-appmodel-runtime-l1-1-0.dll;
GetPackagePath;code;api-ms-win-appmodel-runtime-l1-1-0.dll;
GetPackagesByPackageFamily;code;api-ms-win-appmodel-runtime-l1-1-0.dll;
OpenPackageInfoByFullName;code;api-ms-win-appmodel-runtime-l1-1-0.dll;
PackageFamilyNameFromFullName;code;api-ms-win-appmodel-runtime-l1-1-0.dll;
PackageFamilyNameFromId;code;api-ms-win-appmodel-runtime-l1-1-0.dll;
PackageFullNameFromId;code;api-ms-win-appmodel-runtime-l1-1-0.dll;
PackageIdFromFullName;code;api-ms-win-appmodel-runtime-l1-1-0.dll;
PackageNameAndPublisherIdFromFamilyName;code;api-ms-win-appmodel-runtime-l1-1-0.dll;
FindPackagesByPackageFamily;code;api-ms-win-appmodel-runtime-l1-1-1.dll;
FormatApplicationUserModelId;code;api-ms-win-appmodel-runtime-l1-1-1.dll;
GetApplicationUserModelIdFromToken;code;api-ms-win-appmodel-runtime-l1-1-1.dll;
GetPackageApplicationIds;code;api-ms-win-appmodel-runtime-l1-1-1.dll;
GetPackageFamilyNameFromToken;code;api-ms-win-appmodel-runtime-l1-1-1.dll;
GetPackageFullNameFromToken;code;api-ms-win-appmodel-runtime-l1-1-1.dll;
GetPackagePathByFullName;code;api-ms-win-appmodel-runtime-l1-1-1.dll;
GetStagedPackageOrigin;code;api-ms-win-appmodel-runtime-l1-1-1.dll;
GetStagedPackagePathByFullName;code;api-ms-win-appmodel-runtime-l1-1-1.dll;
OpenPackageInfoByFullNameForUser;code;api-ms-win-appmodel-runtime-l1-1-1.dll;
