Name;Type;DLL;SymbolOrOrdinal
BasepReportFault;code;faultrep.dll;?BasepReportFault@@YG?AW4tagEFaultRepRetVal@@PAU_EXCEPTION_POINTERS@@K@Z (enum tagEFaultRepRetVal __stdcall BasepReportFault(struct _EXCEPTION_POINTERS *,unsigned long))
CheckForReadOnlyResourceFilter;code;faultrep.dll;?CheckForReadOnlyResourceFilter@@YGJPAU_EXCEPTION_POINTERS@@@Z (long __stdcall CheckForReadOnlyResourceFilter(struct _EXCEPTION_POINTERS *))
CheckPerUserCrossProcessThrottle;code;faultrep.dll;?CheckPerUserCrossProcessThrottle@@YGJPAH@Z (long __stdcall CheckPerUserCrossProcessThrottle(int *))
UpdatePerUserLastCrossProcessCollectionTime;code;faultrep.dll;?UpdatePerUserLastCrossProcessCollectionTime@@YGJXZ (long __stdcall UpdatePerUserLastCrossProcessCollectionTime(void))
WerReportHang;code;faultrep.dll;?WerReportHang@@YGJPAUHWND__@@PB_W@Z (long __stdcall WerReportHang(struct HWND__ *,wchar_t const *))
AddERExcludedApplicationA;code;faultrep.dll;_AddERExcludedApplicationA@4
AddERExcludedApplicationW;code;faultrep.dll;_AddERExcludedApplicationW@4
CancelHangReporting;code;faultrep.dll;_CancelHangReporting@4
_ReportActivationHang@16;code;faultrep.dll;1
ReportCoreHang;code;faultrep.dll;_ReportCoreHang@16
ReportFault;code;faultrep.dll;_ReportFault@8
ReportHang;code;faultrep.dll;_ReportHang@8
_ReportNavigationHang@16;code;faultrep.dll;2
WerpGetDebugger;code;faultrep.dll;_WerpGetDebugger@8
WerpInitiateCrashReporting;code;faultrep.dll;_WerpInitiateCrashReporting@32
WerpLaunchAeDebug;code;faultrep.dll;_WerpLaunchAeDebug@20
