Name;Type;DLL;SymbolOrOrdinal
AbortSystemShutdownA;code;ADVAPI32.dll;_AbortSystemShutdownA@4
AbortSystemShutdownW;code;ADVAPI32.dll;_AbortSystemShutdownW@4
AccessCheck;code;ADVAPI32.dll;_AccessCheck@32
AccessCheckAndAuditAlarmW;code;ADVAPI32.dll;_AccessCheckAndAuditAlarmW@44
AccessCheckByType;code;ADVAPI32.dll;_AccessCheckByType@44
AccessCheckByTypeAndAuditAlarmW;code;ADVAPI32.dll;_AccessCheckByTypeAndAuditAlarmW@64
AccessCheckByTypeResultList;code;ADVAPI32.dll;_AccessCheckByTypeResultList@44
AccessCheckByTypeResultListAndAuditAlarmByHandleW;code;ADVAPI32.dll;_AccessCheckByTypeResultListAndAuditAlarmByHandleW@68
AccessCheckByTypeResultListAndAuditAlarmW;code;ADVAPI32.dll;_AccessCheckByTypeResultListAndAuditAlarmW@64
AddAccessAllowedAce;code;ADVAPI32.dll;_AddAccessAllowedAce@16
AddAccessAllowedAceEx;code;ADVAPI32.dll;_AddAccessAllowedAceEx@20
AddAccessAllowedObjectAce;code;ADVAPI32.dll;_AddAccessAllowedObjectAce@28
AddAccessDeniedAce;code;ADVAPI32.dll;_AddAccessDeniedAce@16
AddAccessDeniedAceEx;code;ADVAPI32.dll;_AddAccessDeniedAceEx@20
AddAccessDeniedObjectAce;code;ADVAPI32.dll;_AddAccessDeniedObjectAce@28
AddAce;code;ADVAPI32.dll;_AddAce@20
AddAuditAccessAce;code;ADVAPI32.dll;_AddAuditAccessAce@24
AddAuditAccessAceEx;code;ADVAPI32.dll;_AddAuditAccessAceEx@28
AddAuditAccessObjectAce;code;ADVAPI32.dll;_AddAuditAccessObjectAce@36
AddMandatoryAce;code;ADVAPI32.dll;_AddMandatoryAce@20
AddUsersToEncryptedFile;code;ADVAPI32.dll;_AddUsersToEncryptedFile@8
AdjustTokenGroups;code;ADVAPI32.dll;_AdjustTokenGroups@24
AdjustTokenPrivileges;code;ADVAPI32.dll;_AdjustTokenPrivileges@24
AllocateAndInitializeSid;code;ADVAPI32.dll;_AllocateAndInitializeSid@44
AllocateLocallyUniqueId;code;ADVAPI32.dll;_AllocateLocallyUniqueId@4
AreAllAccessesGranted;code;ADVAPI32.dll;_AreAllAccessesGranted@8
AreAnyAccessesGranted;code;ADVAPI32.dll;_AreAnyAccessesGranted@8
AuditComputeEffectivePolicyBySid;code;ADVAPI32.dll;_AuditComputeEffectivePolicyBySid@16
AuditEnumerateCategories;code;ADVAPI32.dll;_AuditEnumerateCategories@8
AuditEnumeratePerUserPolicy;code;ADVAPI32.dll;_AuditEnumeratePerUserPolicy@4
AuditEnumerateSubCategories;code;ADVAPI32.dll;_AuditEnumerateSubCategories@16
AuditFree;code;ADVAPI32.dll;_AuditFree@4
AuditLookupCategoryNameW;code;ADVAPI32.dll;_AuditLookupCategoryNameW@8
AuditLookupSubCategoryNameW;code;ADVAPI32.dll;_AuditLookupSubCategoryNameW@8
AuditQueryGlobalSaclW;code;ADVAPI32.dll;_AuditQueryGlobalSaclW@8
AuditQueryPerUserPolicy;code;ADVAPI32.dll;_AuditQueryPerUserPolicy@16
