Name;Type;DLL;SymbolOrOrdinal
CoreUICallComputeMaximumMessageSize;code;CoreMessaging.dll;
CoreUICallCreateConversationHost;code;CoreMessaging.dll;
CoreUICallCreateEndpointHost;code;CoreMessaging.dll;
CoreUICallReceive;code;CoreMessaging.dll;
CoreUICallSend;code;CoreMessaging.dll;
CoreUIConfigureTestHost;code;CoreMessaging.dll;
CoreUIConfigureUserIntegration;code;CoreMessaging.dll;
CoreUICreate;code;CoreMessaging.dll;
CoreUICreateAnonymousStream;code;CoreMessaging.dll;
CoreUICreateClientWindowIDManager;code;CoreMessaging.dll;
CoreUICreateEx;code;CoreMessaging.dll;
CoreUICreateSystemWindowIDManager;code;CoreMessaging.dll;
CoreUICreateWindowValidator;code;CoreMessaging.dll;
CoreUIFailFastOOM;code;CoreMessaging.dll;
CoreUIOpenExisting;code;CoreMessaging.dll;
CoreUIRouteToTestRegistrar;code;CoreMessaging.dll;
CreateDispatcherQueueController;code;CoreMessaging.dll;
CreateDispatcherQueueForCurrentThread;code;CoreMessaging.dll;
InitializeServices;code;CoreMessaging.dll;
MsgBlobCreateShared;code;CoreMessaging.dll;
MsgBlobCreateStack;code;CoreMessaging.dll;
MsgBufferShare;code;CoreMessaging.dll;
MsgRelease;code;CoreMessaging.dll;
MsgStringCreateShared;code;CoreMessaging.dll;
MsgStringCreateStack;code;CoreMessaging.dll;
ServiceMain;code;CoreMessaging.dll;
SvchostPushServiceGlobals;code;CoreMessaging.dll;
UninitializeServices;code;CoreMessaging.dll;
