Name;Type;DLL;SymbolOrOrdinal
DeviceInternetSettingUiW;code;newdev.dll;
DiInstallDevice;code;newdev.dll;
DiInstallDriverA;code;newdev.dll;
DiInstallDriverW;code;newdev.dll;
DiRollbackDriver;code;newdev.dll;
DiShowUpdateDevice;code;newdev.dll;
DiUninstallDevice;code;newdev.dll;
GetInternetPolicies;code;newdev.dll;
InstallNewDevice;code;newdev.dll;
InstallSelectedDriver;code;newdev.dll;
InstallWindowsUpdateDriver;code;newdev.dll;
InstallWindowsUpdateDriverEx;code;newdev.dll;
InstallWindowsUpdateDrivers;code;newdev.dll;
QueryWindowsUpdateDriverStatus;code;newdev.dll;
SetInternetPolicies;code;newdev.dll;
UpdateDriverForPlugAndPlayDevicesA;code;newdev.dll;
UpdateDriverForPlugAndPlayDevicesW;code;newdev.dll;
pDiDoDeviceInstallAsAdmin;code;newdev.dll;
pDiDoNullDriverInstall;code;newdev.dll;
