Name;Type;DLL;SymbolOrOrdinal
DpmBufferFree;code;efswrt.dll;
DpmProtectSecretToIdentity;code;efswrt.dll;
DpmStreamClose;code;efswrt.dll;
DpmStreamOpenToProtectToIdentity;code;efswrt.dll;
DpmStreamOpenToUnprotect;code;efswrt.dll;
DpmStreamUpdate;code;efswrt.dll;
DpmUnprotectSecret;code;efswrt.dll;
EnterpriseDataCopyProtection;code;efswrt.dll;
EnterpriseDataGetStatus;code;efswrt.dll;
EnterpriseDataProtect;code;efswrt.dll;
EnterpriseDataRevoke;code;efswrt.dll;
FreeIdentityProtectorList;code;efswrt.dll;
GetEnterpriseActionForCopy;code;efswrt.dll;
GetEnterpriseIdForNetworkPath;code;efswrt.dll;
ProtectFileToEnterpriseIdentity;code;efswrt.dll;
ProtectFileToIdentity;code;efswrt.dll;
QueryIdentityProtectors;code;efswrt.dll;
UnprotectFile;code;efswrt.dll;
