Name;Type;DLL;SymbolOrOrdinal
ScriptApplyDigitSubstitution;code;USP10.dll;#ScriptApplyDigitSubstitution
ScriptApplyLogicalWidth;code;USP10.dll;#ScriptApplyLogicalWidth
ScriptBreak;code;USP10.dll;#ScriptBreak
ScriptCPtoX;code;USP10.dll;#ScriptCPtoX
ScriptCacheGetHeight;code;USP10.dll;#ScriptCacheGetHeight
ScriptFreeCache;code;USP10.dll;#ScriptFreeCache
ScriptGetCMap;code;USP10.dll;#ScriptGetCMap
ScriptGetFontAlternateGlyphs;code;USP10.dll;#ScriptGetFontAlternateGlyphs
ScriptGetFontFeatureTags;code;USP10.dll;#ScriptGetFontFeatureTags
ScriptGetFontLanguageTags;code;USP10.dll;#ScriptGetFontLanguageTags
ScriptGetFontProperties;code;USP10.dll;#ScriptGetFontProperties
ScriptGetFontScriptTags;code;USP10.dll;#ScriptGetFontScriptTags
ScriptGetGlyphABCWidth;code;USP10.dll;#ScriptGetGlyphABCWidth
ScriptGetLogicalWidths;code;USP10.dll;#ScriptGetLogicalWidths
ScriptGetProperties;code;USP10.dll;#ScriptGetProperties
ScriptIsComplex;code;USP10.dll;#ScriptIsComplex
ScriptItemize;code;USP10.dll;#ScriptItemize
ScriptItemizeOpenType;code;USP10.dll;#ScriptItemizeOpenType
ScriptJustify;code;USP10.dll;#ScriptJustify
ScriptLayout;code;USP10.dll;#ScriptLayout
ScriptPlace;code;USP10.dll;#ScriptPlace
ScriptPlaceOpenType;code;USP10.dll;#ScriptPlaceOpenType
ScriptPositionSingleGlyph;code;USP10.dll;#ScriptPositionSingleGlyph
ScriptRecordDigitSubstitution;code;USP10.dll;#ScriptRecordDigitSubstitution
ScriptShape;code;USP10.dll;#ScriptShape
ScriptShapeOpenType;code;USP10.dll;#ScriptShapeOpenType
ScriptStringAnalyse;code;USP10.dll;#ScriptStringAnalyse
ScriptStringCPtoX;code;USP10.dll;#ScriptStringCPtoX
ScriptStringFree;code;USP10.dll;#ScriptStringFree
ScriptStringGetLogicalWidths;code;USP10.dll;#ScriptStringGetLogicalWidths
ScriptStringGetOrder;code;USP10.dll;#ScriptStringGetOrder
ScriptStringOut;code;USP10.dll;#ScriptStringOut
ScriptStringValidate;code;USP10.dll;#ScriptStringValidate
ScriptStringXtoCP;code;USP10.dll;#ScriptStringXtoCP
ScriptString_pLogAttr;code;USP10.dll;#ScriptString_pLogAttr
ScriptString_pSize;code;USP10.dll;#ScriptString_pSize
ScriptString_pcOutChars;code;USP10.dll;#ScriptString_pcOutChars
ScriptSubstituteSingleGlyph;code;USP10.dll;#ScriptSubstituteSingleGlyph
ScriptTextOut;code;USP10.dll;#ScriptTextOut
ScriptXtoCP;code;USP10.dll;#ScriptXtoCP
ScriptApplyDigitSubstitution;code;USP10.dll;
ScriptApplyLogicalWidth;code;USP10.dll;
ScriptBreak;code;USP10.dll;
ScriptCPtoX;code;USP10.dll;
ScriptCacheGetHeight;code;USP10.dll;
ScriptFreeCache;code;USP10.dll;
ScriptGetCMap;code;USP10.dll;
ScriptGetFontAlternateGlyphs;code;USP10.dll;
ScriptGetFontFeatureTags;code;USP10.dll;
ScriptGetFontLanguageTags;code;USP10.dll;
ScriptGetFontProperties;code;USP10.dll;
ScriptGetFontScriptTags;code;USP10.dll;
ScriptGetGlyphABCWidth;code;USP10.dll;
ScriptGetLogicalWidths;code;USP10.dll;
ScriptGetProperties;code;USP10.dll;
ScriptIsComplex;code;USP10.dll;
ScriptItemize;code;USP10.dll;
ScriptItemizeOpenType;code;USP10.dll;
ScriptJustify;code;USP10.dll;
ScriptLayout;code;USP10.dll;
ScriptPlace;code;USP10.dll;
ScriptPlaceOpenType;code;USP10.dll;
ScriptPositionSingleGlyph;code;USP10.dll;
ScriptRecordDigitSubstitution;code;USP10.dll;
ScriptShape;code;USP10.dll;
ScriptShapeOpenType;code;USP10.dll;
ScriptStringAnalyse;code;USP10.dll;
ScriptStringCPtoX;code;USP10.dll;
ScriptStringFree;code;USP10.dll;
ScriptStringGetLogicalWidths;code;USP10.dll;
ScriptStringGetOrder;code;USP10.dll;
ScriptStringOut;code;USP10.dll;
ScriptStringValidate;code;USP10.dll;
ScriptStringXtoCP;code;USP10.dll;
ScriptString_pLogAttr;code;USP10.dll;
ScriptString_pSize;code;USP10.dll;
ScriptString_pcOutChars;code;USP10.dll;
ScriptSubstituteSingleGlyph;code;USP10.dll;
ScriptTextOut;code;USP10.dll;
ScriptXtoCP;code;USP10.dll;
