Name;Type;DLL;SymbolOrOrdinal
AuthzAccessCheck;code;AUTHZ.dll;
AuthzAddSidsToContext;code;AUTHZ.dll;
AuthzCachedAccessCheck;code;AUTHZ.dll;
AuthzEnumerateSecurityEventSources;code;AUTHZ.dll;
AuthzEvaluateSacl;code;AUTHZ.dll;
AuthzFreeAuditEvent;code;AUTHZ.dll;
AuthzFreeCentralAccessPolicyCache;code;AUTHZ.dll;
AuthzFreeContext;code;AUTHZ.dll;
AuthzFreeHandle;code;AUTHZ.dll;
AuthzFreeResourceManager;code;AUTHZ.dll;
AuthzGetInformationFromContext;code;AUTHZ.dll;
AuthzInitializeCompoundContext;code;AUTHZ.dll;
AuthzInitializeContextFromAuthzContext;code;AUTHZ.dll;
AuthzInitializeContextFromSid;code;AUTHZ.dll;
AuthzInitializeContextFromToken;code;AUTHZ.dll;
AuthzInitializeObjectAccessAuditEvent;code;AUTHZ.dll;
AuthzInitializeObjectAccessAuditEvent2;code;AUTHZ.dll;
AuthzInitializeRemoteAccessCheck;code;AUTHZ.dll;
AuthzInitializeRemoteResourceManager;code;AUTHZ.dll;
AuthzInitializeResourceManager;code;AUTHZ.dll;
AuthzInitializeResourceManagerEx;code;AUTHZ.dll;
AuthzInstallSecurityEventSource;code;AUTHZ.dll;
AuthzModifyClaims;code;AUTHZ.dll;
AuthzModifySecurityAttributes;code;AUTHZ.dll;
AuthzModifySids;code;AUTHZ.dll;
AuthzOpenObjectAudit;code;AUTHZ.dll;
AuthzRegisterCapChangeNotification;code;AUTHZ.dll;
AuthzRegisterSecurityEventSource;code;AUTHZ.dll;
AuthzReportSecurityEvent;code;AUTHZ.dll;
AuthzReportSecurityEventFromParams;code;AUTHZ.dll;
AuthzSetAppContainerInformation;code;AUTHZ.dll;
AuthzShutdownRemoteAccessCheck;code;AUTHZ.dll;
AuthzUninstallSecurityEventSource;code;AUTHZ.dll;
AuthzUnregisterCapChangeNotification;code;AUTHZ.dll;
AuthzUnregisterSecurityEventSource;code;AUTHZ.dll;
AuthziLogAuditEvent;code;AUTHZ.dll;
