Name;Type;DLL;SymbolOrOrdinal
SymGetSourceFileFromTokenByTokenNameW;code;imagehlp.dll;SymGetSourceFileFromTokenByTokenNameW
SymGetSourceFileFromTokenW;code;imagehlp.dll;SymGetSourceFileFromTokenW
SymGetSourceFileTokenByTokenName;code;imagehlp.dll;SymGetSourceFileTokenByTokenName
SymGetSourceFileTokenByTokenNameW;code;imagehlp.dll;SymGetSourceFileTokenByTokenNameW
SymGetSourceFileTokenW;code;imagehlp.dll;SymGetSourceFileTokenW
SymGetSourceVarFromTokenW;code;imagehlp.dll;SymGetSourceVarFromTokenW
SymGetSymFromAddr;code;imagehlp.dll;SymGetSymFromAddr
SymGetSymFromAddr64;code;imagehlp.dll;SymGetSymFromAddr64
SymGetSymFromName;code;imagehlp.dll;SymGetSymFromName
SymGetSymFromName64;code;imagehlp.dll;SymGetSymFromName64
SymGetSymNext;code;imagehlp.dll;SymGetSymNext
SymGetSymNext64;code;imagehlp.dll;SymGetSymNext64
SymGetSymPrev;code;imagehlp.dll;SymGetSymPrev
SymGetSymPrev64;code;imagehlp.dll;SymGetSymPrev64
SymGetSymbolFile;code;imagehlp.dll;SymGetSymbolFile
SymGetSymbolFileW;code;imagehlp.dll;SymGetSymbolFileW
SymGetTypeFromName;code;imagehlp.dll;SymGetTypeFromName
SymGetTypeFromNameW;code;imagehlp.dll;SymGetTypeFromNameW
SymGetTypeInfo;code;imagehlp.dll;SymGetTypeInfo
SymGetTypeInfoEx;code;imagehlp.dll;SymGetTypeInfoEx
SymInitialize;code;imagehlp.dll;SymInitialize
SymLoadModule;code;imagehlp.dll;SymLoadModule
SymLoadModule64;code;imagehlp.dll;SymLoadModule64
SymMatchFileName;code;imagehlp.dll;SymMatchFileName
SymMatchFileNameW;code;imagehlp.dll;SymMatchFileNameW
SymMatchString;code;imagehlp.dll;SymMatchString
SymMatchStringA;code;imagehlp.dll;SymMatchStringA
SymMatchStringW;code;imagehlp.dll;SymMatchStringW
SymQueryInlineTrace;code;imagehlp.dll;SymQueryInlineTrace
SymRegisterCallback;code;imagehlp.dll;SymRegisterCallback
SymRegisterCallback64;code;imagehlp.dll;SymRegisterCallback64
SymRegisterFunctionEntryCallback;code;imagehlp.dll;SymRegisterFunctionEntryCallback
SymRegisterFunctionEntryCallback64;code;imagehlp.dll;SymRegisterFunctionEntryCallback64
SymSetContext;code;imagehlp.dll;SymSetContext
SymSetExtendedOption;code;imagehlp.dll;SymSetExtendedOption
SymSetOptions;code;imagehlp.dll;SymSetOptions
SymSetScopeFromAddr;code;imagehlp.dll;SymSetScopeFromAddr
SymSetScopeFromIndex;code;imagehlp.dll;SymSetScopeFromIndex
SymSetScopeFromInlineContext;code;imagehlp.dll;SymSetScopeFromInlineContext
SymSetSearchPath;code;imagehlp.dll;SymSetSearchPath
SymSrvGetFileIndexString;code;imagehlp.dll;SymSrvGetFileIndexString
SymSrvGetFileIndexStringW;code;imagehlp.dll;SymSrvGetFileIndexStringW
SymSrvGetFileIndexes;code;imagehlp.dll;SymSrvGetFileIndexes
SymSrvGetFileIndexesW;code;imagehlp.dll;SymSrvGetFileIndexesW
SymUnDName;code;imagehlp.dll;SymUnDName
SymUnDName64;code;imagehlp.dll;SymUnDName64
SymUnloadModule;code;imagehlp.dll;SymUnloadModule
SymUnloadModule64;code;imagehlp.dll;SymUnloadModule64
UnDecorateSymbolName;code;imagehlp.dll;UnDecorateSymbolName
SymAllocDiaString;code;imagehlp.dll;?SymAllocDiaString@@YAPEAGPEBG@Z (unsigned short * __cdecl SymAllocDiaString(unsigned short const *))
SymFreeDiaString;code;imagehlp.dll;?SymFreeDiaString@@YAXPEAG@Z (void __cdecl SymFreeDiaString(unsigned short *))
SymGetDiaSession;code;imagehlp.dll;?SymGetDiaSession@@YAHPEAX_KPEAPEAUIDiaSession@@@Z (int __cdecl SymGetDiaSession(void *,unsigned __int64,struct IDiaSession * *))
SymGetDiaSource;code;imagehlp.dll;?SymGetDiaSource@@YAHPEAX_KPEAPEAUIDiaDataSource@@@Z (int __cdecl SymGetDiaSource(void *,unsigned __int64,struct IDiaDataSource * *))
SymRegisterGetSourcePathPartCallback;code;imagehlp.dll;?SymRegisterGetSourcePathPartCallback@@YAXP6AJPEBGPEAPEAG@ZPEAP6AJ01@Z@Z (void __cdecl SymRegisterGetSourcePathPartCallback(long (__cdecl*)(unsigned short const *,unsigned short * *),long (__cdecl**)(unsigned short const *,unsigned short * *)))
SymRegisterSourceFileUrlListCallback;code;imagehlp.dll;?SymRegisterSourceFileUrlListCallback@@YAXP6AJPEAX_KPEBG22PEAPEAUtagSAFEARRAY@@@ZPEAP6AJ012223@Z@Z (void __cdecl SymRegisterSourceFileUrlListCallback(long (__cdecl*)(void *,unsigned __int64,unsigned short const *,unsigned short const *,unsigned short const *,struct tagSAFEARRAY * *),long (__cdecl**)(void *,unsigned __int64,unsigned short const *,unsigned short const *,unsigned short const *,struct tagSAFEARRAY * *)))
SymSetDiaSession;code;imagehlp.dll;?SymSetDiaSession@@YAHPEAX_KPEAUIDiaSession@@@Z (int __cdecl SymSetDiaSession(void *,unsigned __int64,struct IDiaSession *))
BindImage;code;imagehlp.dll;
BindImageEx;code;imagehlp.dll;
CheckSumMappedFile;code;imagehlp.dll;
EnumerateLoadedModules;code;imagehlp.dll;
EnumerateLoadedModules64;code;imagehlp.dll;
EnumerateLoadedModulesEx;code;imagehlp.dll;
EnumerateLoadedModulesExW;code;imagehlp.dll;
EnumerateLoadedModulesW64;code;imagehlp.dll;
FindDebugInfoFile;code;imagehlp.dll;
FindDebugInfoFileEx;code;imagehlp.dll;
FindExecutableImage;code;imagehlp.dll;
FindExecutableImageEx;code;imagehlp.dll;
FindFileInPath;code;imagehlp.dll;
FindFileInSearchPath;code;imagehlp.dll;
GetImageConfigInformation;code;imagehlp.dll;
GetImageUnusedHeaderBytes;code;imagehlp.dll;
GetSymLoadError;code;imagehlp.dll;
GetTimestampForLoadedLibrary;code;imagehlp.dll;
ImageAddCertificate;code;imagehlp.dll;
ImageDirectoryEntryToData;code;imagehlp.dll;
ImageDirectoryEntryToDataEx;code;imagehlp.dll;
ImageEnumerateCertificates;code;imagehlp.dll;
ImageGetCertificateData;code;imagehlp.dll;
ImageGetCertificateHeader;code;imagehlp.dll;
ImageGetDigestStream;code;imagehlp.dll;
ImageLoad;code;imagehlp.dll;
ImageNtHeader;code;imagehlp.dll;
ImageRemoveCertificate;code;imagehlp.dll;
ImageRvaToSection;code;imagehlp.dll;
ImageRvaToVa;code;imagehlp.dll;
ImageUnload;code;imagehlp.dll;
ImagehlpApiVersion;code;imagehlp.dll;
ImagehlpApiVersionEx;code;imagehlp.dll;
MakeSureDirectoryPathExists;code;imagehlp.dll;
MapAndLoad;code;imagehlp.dll;
MapFileAndCheckSumA;code;imagehlp.dll;
MapFileAndCheckSumW;code;imagehlp.dll;
ReBaseImage;code;imagehlp.dll;
ReBaseImage64;code;imagehlp.dll;
RemoveInvalidModuleList;code;imagehlp.dll;
ReportSymbolLoadSummary;code;imagehlp.dll;
SearchTreeForFile;code;imagehlp.dll;
SetCheckUserInterruptShared;code;imagehlp.dll;
SetImageConfigInformation;code;imagehlp.dll;
SetSymLoadError;code;imagehlp.dll;
StackWalk;code;imagehlp.dll;
StackWalk64;code;imagehlp.dll;
StackWalkEx;code;imagehlp.dll;
SymAddrIncludeInlineTrace;code;imagehlp.dll;
SymCleanup;code;imagehlp.dll;
SymCompareInlineTrace;code;imagehlp.dll;
SymEnumSym;code;imagehlp.dll;
SymEnumSymbols;code;imagehlp.dll;
SymEnumSymbolsEx;code;imagehlp.dll;
SymEnumSymbolsExW;code;imagehlp.dll;
SymEnumSymbolsForAddr;code;imagehlp.dll;
SymEnumTypes;code;imagehlp.dll;
SymEnumTypesByName;code;imagehlp.dll;
SymEnumTypesByNameW;code;imagehlp.dll;
SymEnumTypesW;code;imagehlp.dll;
SymEnumerateModules;code;imagehlp.dll;
SymEnumerateModules64;code;imagehlp.dll;
SymEnumerateSymbols;code;imagehlp.dll;
SymEnumerateSymbols64;code;imagehlp.dll;
SymEnumerateSymbolsW;code;imagehlp.dll;
SymEnumerateSymbolsW64;code;imagehlp.dll;
SymFindFileInPath;code;imagehlp.dll;
SymFindFileInPathW;code;imagehlp.dll;
SymFromAddr;code;imagehlp.dll;
SymFromInlineContext;code;imagehlp.dll;
SymFromInlineContextW;code;imagehlp.dll;
SymFromName;code;imagehlp.dll;
SymFunctionTableAccess;code;imagehlp.dll;
SymFunctionTableAccess64;code;imagehlp.dll;
SymFunctionTableAccess64AccessRoutines;code;imagehlp.dll;
SymGetExtendedOption;code;imagehlp.dll;
SymGetLineFromAddr;code;imagehlp.dll;
SymGetLineFromAddr64;code;imagehlp.dll;
SymGetLineFromInlineContext;code;imagehlp.dll;
SymGetLineFromInlineContextW;code;imagehlp.dll;
SymGetLineFromName;code;imagehlp.dll;
SymGetLineFromName64;code;imagehlp.dll;
SymGetLineNext;code;imagehlp.dll;
SymGetLineNext64;code;imagehlp.dll;
SymGetLinePrev;code;imagehlp.dll;
SymGetLinePrev64;code;imagehlp.dll;
SymGetModuleBase;code;imagehlp.dll;
SymGetModuleBase64;code;imagehlp.dll;
SymGetModuleInfo;code;imagehlp.dll;
SymGetModuleInfo64;code;imagehlp.dll;
SymGetModuleInfoW;code;imagehlp.dll;
SymGetModuleInfoW64;code;imagehlp.dll;
SymGetOptions;code;imagehlp.dll;
SymGetSearchPath;code;imagehlp.dll;
SymGetSourceFileChecksumW;code;imagehlp.dll;
SymGetSourceFileFromTokenByTokenName;code;imagehlp.dll;
SymGetSourceFileFromTokenByTokenNameW;code;imagehlp.dll;
SymGetSourceFileFromTokenW;code;imagehlp.dll;
SymGetSourceFileTokenByTokenName;code;imagehlp.dll;
SymGetSourceFileTokenByTokenNameW;code;imagehlp.dll;
SymGetSourceFileTokenW;code;imagehlp.dll;
SymGetSourceVarFromTokenW;code;imagehlp.dll;
SymGetSymFromAddr;code;imagehlp.dll;
SymGetSymFromAddr64;code;imagehlp.dll;
SymGetSymFromName;code;imagehlp.dll;
SymGetSymFromName64;code;imagehlp.dll;
SymGetSymNext;code;imagehlp.dll;
SymGetSymNext64;code;imagehlp.dll;
SymGetSymPrev;code;imagehlp.dll;
SymGetSymPrev64;code;imagehlp.dll;
SymGetSymbolFile;code;imagehlp.dll;
SymGetSymbolFileW;code;imagehlp.dll;
SymGetTypeFromName;code;imagehlp.dll;
SymGetTypeFromNameW;code;imagehlp.dll;
SymGetTypeInfo;code;imagehlp.dll;
SymGetTypeInfoEx;code;imagehlp.dll;
SymInitialize;code;imagehlp.dll;
SymLoadModule;code;imagehlp.dll;
SymLoadModule64;code;imagehlp.dll;
SymMatchFileName;code;imagehlp.dll;
SymMatchFileNameW;code;imagehlp.dll;
SymMatchString;code;imagehlp.dll;
SymMatchStringA;code;imagehlp.dll;
SymMatchStringW;code;imagehlp.dll;
SymQueryInlineTrace;code;imagehlp.dll;
SymRegisterCallback;code;imagehlp.dll;
SymRegisterCallback64;code;imagehlp.dll;
SymRegisterFunctionEntryCallback;code;imagehlp.dll;
SymRegisterFunctionEntryCallback64;code;imagehlp.dll;
SymSetContext;code;imagehlp.dll;
SymSetExtendedOption;code;imagehlp.dll;
SymSetOptions;code;imagehlp.dll;
SymSetScopeFromAddr;code;imagehlp.dll;
SymSetScopeFromIndex;code;imagehlp.dll;
SymSetScopeFromInlineContext;code;imagehlp.dll;
SymSetSearchPath;code;imagehlp.dll;
SymSrvGetFileIndexString;code;imagehlp.dll;
SymSrvGetFileIndexStringW;code;imagehlp.dll;
SymSrvGetFileIndexes;code;imagehlp.dll;
SymSrvGetFileIndexesW;code;imagehlp.dll;
SymUnDName;code;imagehlp.dll;
SymUnDName64;code;imagehlp.dll;
SymUnloadModule;code;imagehlp.dll;
SymUnloadModule64;code;imagehlp.dll;
TouchFileTimes;code;imagehlp.dll;
UnDecorateSymbolName;code;imagehlp.dll;
UnMapAndLoad;code;imagehlp.dll;
UpdateDebugInfoFile;code;imagehlp.dll;
UpdateDebugInfoFileEx;code;imagehlp.dll;
