Name;Type;DLL;SymbolOrOrdinal
PeerCollabUnregisterEvent;code;P2P.dll;#PeerCollabUnregisterEvent
PeerCollabUnsubscribeEndpointData;code;P2P.dll;#PeerCollabUnsubscribeEndpointData
PeerCollabUpdateContact;code;P2P.dll;#PeerCollabUpdateContact
PeerCreatePeerName;code;P2P.dll;#PeerCreatePeerName
PeerEndEnumeration;code;P2P.dll;#PeerEndEnumeration
PeerEnumGroups;code;P2P.dll;#PeerEnumGroups
PeerEnumIdentities;code;P2P.dll;#PeerEnumIdentities
PeerFreeData;code;P2P.dll;#PeerFreeData
PeerGetItemCount;code;P2P.dll;#PeerGetItemCount
PeerGetNextItem;code;P2P.dll;#PeerGetNextItem
PeerGroupAddRecord;code;P2P.dll;#PeerGroupAddRecord
PeerGroupClose;code;P2P.dll;#PeerGroupClose
PeerGroupCloseDirectConnection;code;P2P.dll;#PeerGroupCloseDirectConnection
PeerGroupConnect;code;P2P.dll;#PeerGroupConnect
PeerGroupConnectByAddress;code;P2P.dll;#PeerGroupConnectByAddress
PeerGroupCreate;code;P2P.dll;#PeerGroupCreate
PeerGroupCreateInvitation;code;P2P.dll;#PeerGroupCreateInvitation
PeerGroupCreatePasswordInvitation;code;P2P.dll;#PeerGroupCreatePasswordInvitation
PeerGroupDelete;code;P2P.dll;#PeerGroupDelete
PeerGroupDeleteRecord;code;P2P.dll;#PeerGroupDeleteRecord
PeerGroupEnumConnections;code;P2P.dll;#PeerGroupEnumConnections
PeerGroupEnumMembers;code;P2P.dll;#PeerGroupEnumMembers
PeerGroupEnumRecords;code;P2P.dll;#PeerGroupEnumRecords
PeerGroupExportConfig;code;P2P.dll;#PeerGroupExportConfig
PeerGroupExportDatabase;code;P2P.dll;#PeerGroupExportDatabase
PeerGroupGetEventData;code;P2P.dll;#PeerGroupGetEventData
PeerGroupGetProperties;code;P2P.dll;#PeerGroupGetProperties
PeerGroupGetRecord;code;P2P.dll;#PeerGroupGetRecord
PeerGroupGetStatus;code;P2P.dll;#PeerGroupGetStatus
PeerGroupImportConfig;code;P2P.dll;#PeerGroupImportConfig
PeerGroupImportDatabase;code;P2P.dll;#PeerGroupImportDatabase
PeerGroupIssueCredentials;code;P2P.dll;#PeerGroupIssueCredentials
PeerGroupJoin;code;P2P.dll;#PeerGroupJoin
PeerGroupOpen;code;P2P.dll;#PeerGroupOpen
PeerGroupOpenDirectConnection;code;P2P.dll;#PeerGroupOpenDirectConnection
PeerGroupParseInvitation;code;P2P.dll;#PeerGroupParseInvitation
PeerGroupPasswordJoin;code;P2P.dll;#PeerGroupPasswordJoin
PeerGroupPeerTimeToUniversalTime;code;P2P.dll;#PeerGroupPeerTimeToUniversalTime
PeerGroupRegisterEvent;code;P2P.dll;#PeerGroupRegisterEvent
PeerGroupResumePasswordAuthentication;code;P2P.dll;#PeerGroupResumePasswordAuthentication
PeerGroupSearchRecords;code;P2P.dll;#PeerGroupSearchRecords
PeerGroupSendData;code;P2P.dll;#PeerGroupSendData
PeerGroupSetProperties;code;P2P.dll;#PeerGroupSetProperties
PeerGroupShutdown;code;P2P.dll;#PeerGroupShutdown
PeerGroupStartup;code;P2P.dll;#PeerGroupStartup
PeerGroupUniversalTimeToPeerTime;code;P2P.dll;#PeerGroupUniversalTimeToPeerTime
PeerGroupUnregisterEvent;code;P2P.dll;#PeerGroupUnregisterEvent
PeerGroupUpdateRecord;code;P2P.dll;#PeerGroupUpdateRecord
PeerHostNameToPeerName;code;P2P.dll;#PeerHostNameToPeerName
PeerIdentityCreate;code;P2P.dll;#PeerIdentityCreate
PeerIdentityDelete;code;P2P.dll;#PeerIdentityDelete
PeerIdentityExport;code;P2P.dll;#PeerIdentityExport
PeerIdentityGetCert;code;P2P.dll;#PeerIdentityGetCert
PeerIdentityGetCryptKey;code;P2P.dll;#PeerIdentityGetCryptKey
PeerIdentityGetDefault;code;P2P.dll;#PeerIdentityGetDefault
PeerIdentityGetFriendlyName;code;P2P.dll;#PeerIdentityGetFriendlyName
PeerIdentityGetXML;code;P2P.dll;#PeerIdentityGetXML
PeerIdentityImport;code;P2P.dll;#PeerIdentityImport
PeerIdentitySetFriendlyName;code;P2P.dll;#PeerIdentitySetFriendlyName
PeerNameToPeerHostName;code;P2P.dll;#PeerNameToPeerHostName
PeerPnrpEndResolve;code;P2P.dll;#PeerPnrpEndResolve
PeerPnrpGetCloudInfo;code;P2P.dll;#PeerPnrpGetCloudInfo
PeerPnrpGetEndpoint;code;P2P.dll;#PeerPnrpGetEndpoint
PeerPnrpRegister;code;P2P.dll;#PeerPnrpRegister
PeerPnrpResolve;code;P2P.dll;#PeerPnrpResolve
PeerPnrpShutdown;code;P2P.dll;#PeerPnrpShutdown
PeerPnrpStartResolve;code;P2P.dll;#PeerPnrpStartResolve
PeerPnrpStartup;code;P2P.dll;#PeerPnrpStartup
PeerPnrpUnregister;code;P2P.dll;#PeerPnrpUnregister
PeerPnrpUpdateRegistration;code;P2P.dll;#PeerPnrpUpdateRegistration
PeerSSPAddCredentials;code;P2P.dll;#PeerSSPAddCredentials
PeerSSPRemoveCredentials;code;P2P.dll;#PeerSSPRemoveCredentials
PeerGroupHandlePowerEvent;code;P2P.dll;?PeerGroupHandlePowerEvent@@$$hYAJH@Z (long __cdecl PeerGroupHandlePowerEvent(int))
PeerGroupHandlePowerEvent;code;P2P.dll;?PeerGroupHandlePowerEvent@@YAJH@Z (long __cdecl PeerGroupHandlePowerEvent(int))
PeerCollabAddContact;code;P2P.dll;
PeerCollabAsyncInviteContact;code;P2P.dll;
PeerCollabAsyncInviteEndpoint;code;P2P.dll;
PeerCollabCancelInvitation;code;P2P.dll;
PeerCollabCloseHandle;code;P2P.dll;
PeerCollabDeleteContact;code;P2P.dll;
PeerCollabDeleteEndpointData;code;P2P.dll;
PeerCollabDeleteObject;code;P2P.dll;
PeerCollabEnumApplicationRegistrationInfo;code;P2P.dll;
PeerCollabEnumApplications;code;P2P.dll;
PeerCollabEnumContacts;code;P2P.dll;
PeerCollabEnumEndpoints;code;P2P.dll;
PeerCollabEnumObjects;code;P2P.dll;
PeerCollabEnumPeopleNearMe;code;P2P.dll;
PeerCollabExportContact;code;P2P.dll;
PeerCollabGetAppLaunchInfo;code;P2P.dll;
PeerCollabGetApplicationRegistrationInfo;code;P2P.dll;
PeerCollabGetContact;code;P2P.dll;
PeerCollabGetEndpointName;code;P2P.dll;
PeerCollabGetEventData;code;P2P.dll;
PeerCollabGetInvitationResponse;code;P2P.dll;
PeerCollabGetPresenceInfo;code;P2P.dll;
PeerCollabGetSigninOptions;code;P2P.dll;
PeerCollabInviteContact;code;P2P.dll;
PeerCollabInviteEndpoint;code;P2P.dll;
PeerCollabParseContact;code;P2P.dll;
PeerCollabQueryContactData;code;P2P.dll;
PeerCollabRefreshEndpointData;code;P2P.dll;
PeerCollabRegisterApplication;code;P2P.dll;
PeerCollabRegisterEvent;code;P2P.dll;
PeerCollabSetEndpointName;code;P2P.dll;
PeerCollabSetObject;code;P2P.dll;
PeerCollabSetPresenceInfo;code;P2P.dll;
PeerCollabShutdown;code;P2P.dll;
PeerCollabSignin;code;P2P.dll;
PeerCollabSignout;code;P2P.dll;
PeerCollabStartup;code;P2P.dll;
PeerCollabSubscribeEndpointData;code;P2P.dll;
PeerCollabUnregisterApplication;code;P2P.dll;
PeerCollabUnregisterEvent;code;P2P.dll;
PeerCollabUnsubscribeEndpointData;code;P2P.dll;
PeerCollabUpdateContact;code;P2P.dll;
PeerCreatePeerName;code;P2P.dll;
PeerEndEnumeration;code;P2P.dll;
PeerEnumGroups;code;P2P.dll;
PeerEnumIdentities;code;P2P.dll;
PeerFreeData;code;P2P.dll;
PeerGetItemCount;code;P2P.dll;
PeerGetNextItem;code;P2P.dll;
PeerGroupAddRecord;code;P2P.dll;
PeerGroupClose;code;P2P.dll;
PeerGroupCloseDirectConnection;code;P2P.dll;
PeerGroupConnect;code;P2P.dll;
PeerGroupConnectByAddress;code;P2P.dll;
PeerGroupCreate;code;P2P.dll;
PeerGroupCreateInvitation;code;P2P.dll;
PeerGroupCreatePasswordInvitation;code;P2P.dll;
PeerGroupDelete;code;P2P.dll;
PeerGroupDeleteRecord;code;P2P.dll;
PeerGroupEnumConnections;code;P2P.dll;
PeerGroupEnumMembers;code;P2P.dll;
PeerGroupEnumRecords;code;P2P.dll;
PeerGroupExportConfig;code;P2P.dll;
PeerGroupExportDatabase;code;P2P.dll;
PeerGroupGetEventData;code;P2P.dll;
PeerGroupGetProperties;code;P2P.dll;
PeerGroupGetRecord;code;P2P.dll;
PeerGroupGetStatus;code;P2P.dll;
PeerGroupImportConfig;code;P2P.dll;
PeerGroupImportDatabase;code;P2P.dll;
PeerGroupIssueCredentials;code;P2P.dll;
PeerGroupJoin;code;P2P.dll;
PeerGroupOpen;code;P2P.dll;
PeerGroupOpenDirectConnection;code;P2P.dll;
PeerGroupParseInvitation;code;P2P.dll;
PeerGroupPasswordJoin;code;P2P.dll;
PeerGroupPeerTimeToUniversalTime;code;P2P.dll;
PeerGroupRegisterEvent;code;P2P.dll;
PeerGroupResumePasswordAuthentication;code;P2P.dll;
PeerGroupSearchRecords;code;P2P.dll;
PeerGroupSendData;code;P2P.dll;
PeerGroupSetProperties;code;P2P.dll;
PeerGroupShutdown;code;P2P.dll;
PeerGroupStartup;code;P2P.dll;
PeerGroupUniversalTimeToPeerTime;code;P2P.dll;
PeerGroupUnregisterEvent;code;P2P.dll;
PeerGroupUpdateRecord;code;P2P.dll;
PeerHostNameToPeerName;code;P2P.dll;
PeerIdentityCreate;code;P2P.dll;
PeerIdentityDelete;code;P2P.dll;
PeerIdentityExport;code;P2P.dll;
PeerIdentityGetCert;code;P2P.dll;
PeerIdentityGetCryptKey;code;P2P.dll;
PeerIdentityGetDefault;code;P2P.dll;
PeerIdentityGetFriendlyName;code;P2P.dll;
PeerIdentityGetXML;code;P2P.dll;
PeerIdentityImport;code;P2P.dll;
PeerIdentitySetFriendlyName;code;P2P.dll;
PeerNameToPeerHostName;code;P2P.dll;
PeerPnrpEndResolve;code;P2P.dll;
PeerPnrpGetCloudInfo;code;P2P.dll;
PeerPnrpGetEndpoint;code;P2P.dll;
PeerPnrpRegister;code;P2P.dll;
PeerPnrpResolve;code;P2P.dll;
PeerPnrpShutdown;code;P2P.dll;
PeerPnrpStartResolve;code;P2P.dll;
PeerPnrpStartup;code;P2P.dll;
PeerPnrpUnregister;code;P2P.dll;
PeerPnrpUpdateRegistration;code;P2P.dll;
PeerSSPAddCredentials;code;P2P.dll;
PeerSSPRemoveCredentials;code;P2P.dll;
