Name;Type;DLL;SymbolOrOrdinal
ConvertInterfaceLuidToNameW;code;IPHLPAPI.DLL;
ConvertInterfaceNameToLuidA;code;IPHLPAPI.DLL;
ConvertInterfaceNameToLuidW;code;IPHLPAPI.DLL;
ConvertInterfacePhysicalAddressToLuid;code;IPHLPAPI.DLL;
ConvertIpv4MaskToLength;code;IPHLPAPI.DLL;
ConvertLengthToIpv4Mask;code;IPHLPAPI.DLL;
ConvertRemoteInterfaceAliasToLuid;code;IPHLPAPI.DLL;
ConvertRemoteInterfaceGuidToLuid;code;IPHLPAPI.DLL;
ConvertRemoteInterfaceIndexToLuid;code;IPHLPAPI.DLL;
ConvertRemoteInterfaceLuidToAlias;code;IPHLPAPI.DLL;
ConvertRemoteInterfaceLuidToGuid;code;IPHLPAPI.DLL;
ConvertRemoteInterfaceLuidToIndex;code;IPHLPAPI.DLL;
ConvertStringToGuidA;code;IPHLPAPI.DLL;
ConvertStringToGuidW;code;IPHLPAPI.DLL;
ConvertStringToInterfacePhysicalAddress;code;IPHLPAPI.DLL;
CreateAnycastIpAddressEntry;code;IPHLPAPI.DLL;
CreateCompartment;code;IPHLPAPI.DLL;
CreateIpForwardEntry;code;IPHLPAPI.DLL;
CreateIpForwardEntry2;code;IPHLPAPI.DLL;
CreateIpNetEntry;code;IPHLPAPI.DLL;
CreateIpNetEntry2;code;IPHLPAPI.DLL;
CreatePersistentTcpPortReservation;code;IPHLPAPI.DLL;
CreatePersistentUdpPortReservation;code;IPHLPAPI.DLL;
CreateProxyArpEntry;code;IPHLPAPI.DLL;
CreateSortedAddressPairs;code;IPHLPAPI.DLL;
CreateUnicastIpAddressEntry;code;IPHLPAPI.DLL;
DeleteAnycastIpAddressEntry;code;IPHLPAPI.DLL;
DeleteCompartment;code;IPHLPAPI.DLL;
DeleteIPAddress;code;IPHLPAPI.DLL;
DeleteIpForwardEntry;code;IPHLPAPI.DLL;
DeleteIpForwardEntry2;code;IPHLPAPI.DLL;
DeleteIpNetEntry;code;IPHLPAPI.DLL;
DeleteIpNetEntry2;code;IPHLPAPI.DLL;
DeletePersistentTcpPortReservation;code;IPHLPAPI.DLL;
DeletePersistentUdpPortReservation;code;IPHLPAPI.DLL;
DeleteProxyArpEntry;code;IPHLPAPI.DLL;
DeleteUnicastIpAddressEntry;code;IPHLPAPI.DLL;
DisableMediaSense;code;IPHLPAPI.DLL;
EnableRouter;code;IPHLPAPI.DLL;
FlushIpNetTable;code;IPHLPAPI.DLL;
FlushIpNetTable2;code;IPHLPAPI.DLL;
FlushIpPathTable;code;IPHLPAPI.DLL;
FreeDnsSettings;code;IPHLPAPI.DLL;
FreeInterfaceDnsSettings;code;IPHLPAPI.DLL;
FreeMibTable;code;IPHLPAPI.DLL;
GetAdapterIndex;code;IPHLPAPI.DLL;
GetAdapterOrderMap;code;IPHLPAPI.DLL;
GetAdaptersAddresses;code;IPHLPAPI.DLL;
GetAdaptersInfo;code;IPHLPAPI.DLL;
GetAnycastIpAddressEntry;code;IPHLPAPI.DLL;
GetAnycastIpAddressTable;code;IPHLPAPI.DLL;
GetBestInterface;code;IPHLPAPI.DLL;
GetBestInterfaceEx;code;IPHLPAPI.DLL;
GetBestRoute;code;IPHLPAPI.DLL;
GetBestRoute2;code;IPHLPAPI.DLL;
GetCurrentThreadCompartmentId;code;IPHLPAPI.DLL;
GetCurrentThreadCompartmentScope;code;IPHLPAPI.DLL;
GetDefaultCompartmentId;code;IPHLPAPI.DLL;
GetDnsSettings;code;IPHLPAPI.DLL;
GetExtendedTcpTable;code;IPHLPAPI.DLL;
GetExtendedUdpTable;code;IPHLPAPI.DLL;
GetFriendlyIfIndex;code;IPHLPAPI.DLL;
GetIcmpStatistics;code;IPHLPAPI.DLL;
GetIcmpStatisticsEx;code;IPHLPAPI.DLL;
GetIfEntry;code;IPHLPAPI.DLL;
GetIfEntry2;code;IPHLPAPI.DLL;
GetIfEntry2Ex;code;IPHLPAPI.DLL;
GetIfStackTable;code;IPHLPAPI.DLL;
GetIfTable;code;IPHLPAPI.DLL;
GetIfTable2;code;IPHLPAPI.DLL;
GetIfTable2Ex;code;IPHLPAPI.DLL;
GetInterfaceActiveTimestampCapabilities;code;IPHLPAPI.DLL;
GetInterfaceCompartmentId;code;IPHLPAPI.DLL;
GetInterfaceCurrentTimestampCapabilities;code;IPHLPAPI.DLL;
GetInterfaceDnsSettings;code;IPHLPAPI.DLL;
GetInterfaceHardwareTimestampCapabilities;code;IPHLPAPI.DLL;
GetInterfaceInfo;code;IPHLPAPI.DLL;
GetInterfaceSupportedTimestampCapabilities;code;IPHLPAPI.DLL;
GetInvertedIfStackTable;code;IPHLPAPI.DLL;
GetIpAddrTable;code;IPHLPAPI.DLL;
GetIpErrorString;code;IPHLPAPI.DLL;
GetIpForwardEntry2;code;IPHLPAPI.DLL;
GetIpForwardTable;code;IPHLPAPI.DLL;
GetIpForwardTable2;code;IPHLPAPI.DLL;
GetIpInterfaceEntry;code;IPHLPAPI.DLL;
GetIpInterfaceTable;code;IPHLPAPI.DLL;
GetIpNetEntry2;code;IPHLPAPI.DLL;
GetIpNetTable;code;IPHLPAPI.DLL;
GetIpNetTable2;code;IPHLPAPI.DLL;
GetIpNetworkConnectionBandwidthEstimates;code;IPHLPAPI.DLL;
GetIpPathEntry;code;IPHLPAPI.DLL;
GetIpPathTable;code;IPHLPAPI.DLL;
GetIpStatistics;code;IPHLPAPI.DLL;
GetIpStatisticsEx;code;IPHLPAPI.DLL;
GetJobCompartmentId;code;IPHLPAPI.DLL;
GetMulticastIpAddressEntry;code;IPHLPAPI.DLL;
GetMulticastIpAddressTable;code;IPHLPAPI.DLL;
GetNetworkConnectivityHint;code;IPHLPAPI.DLL;
GetNetworkConnectivityHintForInterface;code;IPHLPAPI.DLL;
GetNetworkInformation;code;IPHLPAPI.DLL;
GetNetworkParams;code;IPHLPAPI.DLL;
GetNumberOfInterfaces;code;IPHLPAPI.DLL;
GetOwnerModuleFromPidAndInfo;code;IPHLPAPI.DLL;
GetOwnerModuleFromTcp6Entry;code;IPHLPAPI.DLL;
GetOwnerModuleFromTcpEntry;code;IPHLPAPI.DLL;
GetOwnerModuleFromUdp6Entry;code;IPHLPAPI.DLL;
GetOwnerModuleFromUdpEntry;code;IPHLPAPI.DLL;
GetPerAdapterInfo;code;IPHLPAPI.DLL;
GetPerTcp6ConnectionEStats;code;IPHLPAPI.DLL;
GetPerTcp6ConnectionStats;code;IPHLPAPI.DLL;
GetPerTcpConnectionEStats;code;IPHLPAPI.DLL;
GetPerTcpConnectionStats;code;IPHLPAPI.DLL;
GetRTTAndHopCount;code;IPHLPAPI.DLL;
GetSessionCompartmentId;code;IPHLPAPI.DLL;
GetTcp6Table;code;IPHLPAPI.DLL;
GetTcp6Table2;code;IPHLPAPI.DLL;
GetTcpStatistics;code;IPHLPAPI.DLL;
GetTcpStatisticsEx;code;IPHLPAPI.DLL;
GetTcpStatisticsEx2;code;IPHLPAPI.DLL;
GetTcpTable;code;IPHLPAPI.DLL;
GetTcpTable2;code;IPHLPAPI.DLL;
GetTeredoPort;code;IPHLPAPI.DLL;
GetUdp6Table;code;IPHLPAPI.DLL;
GetUdpStatistics;code;IPHLPAPI.DLL;
GetUdpStatisticsEx;code;IPHLPAPI.DLL;
GetUdpStatisticsEx2;code;IPHLPAPI.DLL;
GetUdpTable;code;IPHLPAPI.DLL;
GetUniDirectionalAdapterInfo;code;IPHLPAPI.DLL;
GetUnicastIpAddressEntry;code;IPHLPAPI.DLL;
GetUnicastIpAddressTable;code;IPHLPAPI.DLL;
GetWPAOACSupportLevel;code;IPHLPAPI.DLL;
Icmp6CreateFile;code;IPHLPAPI.DLL;
Icmp6ParseReplies;code;IPHLPAPI.DLL;
Icmp6SendEcho2;code;IPHLPAPI.DLL;
IcmpCloseHandle;code;IPHLPAPI.DLL;
IcmpCreateFile;code;IPHLPAPI.DLL;
IcmpParseReplies;code;IPHLPAPI.DLL;
IcmpSendEcho;code;IPHLPAPI.DLL;
IcmpSendEcho2;code;IPHLPAPI.DLL;
IcmpSendEcho2Ex;code;IPHLPAPI.DLL;
InitializeCompartmentEntry;code;IPHLPAPI.DLL;
InitializeIpForwardEntry;code;IPHLPAPI.DLL;
InitializeIpInterfaceEntry;code;IPHLPAPI.DLL;
InitializeUnicastIpAddressEntry;code;IPHLPAPI.DLL;
InternalCleanupPersistentStore;code;IPHLPAPI.DLL;
InternalCreateAnycastIpAddressEntry;code;IPHLPAPI.DLL;
InternalCreateIpForwardEntry;code;IPHLPAPI.DLL;
InternalCreateIpForwardEntry2;code;IPHLPAPI.DLL;
InternalCreateIpNetEntry;code;IPHLPAPI.DLL;
InternalCreateIpNetEntry2;code;IPHLPAPI.DLL;
InternalCreateOrRefIpForwardEntry2;code;IPHLPAPI.DLL;
InternalCreateUnicastIpAddressEntry;code;IPHLPAPI.DLL;
InternalDeleteAnycastIpAddressEntry;code;IPHLPAPI.DLL;
InternalDeleteIpForwardEntry;code;IPHLPAPI.DLL;
InternalDeleteIpForwardEntry2;code;IPHLPAPI.DLL;
InternalDeleteIpNetEntry;code;IPHLPAPI.DLL;
InternalDeleteIpNetEntry2;code;IPHLPAPI.DLL;
InternalDeleteUnicastIpAddressEntry;code;IPHLPAPI.DLL;
InternalFindInterfaceByAddress;code;IPHLPAPI.DLL;
InternalGetAnycastIpAddressEntry;code;IPHLPAPI.DLL;
InternalGetAnycastIpAddressTable;code;IPHLPAPI.DLL;
InternalGetBoundTcp6EndpointTable;code;IPHLPAPI.DLL;
InternalGetBoundTcpEndpointTable;code;IPHLPAPI.DLL;
InternalGetForwardIpTable2;code;IPHLPAPI.DLL;
InternalGetIPPhysicalInterfaceForDestination;code;IPHLPAPI.DLL;
InternalGetIfEntry2;code;IPHLPAPI.DLL;
InternalGetIfTable;code;IPHLPAPI.DLL;
InternalGetIfTable2;code;IPHLPAPI.DLL;
InternalGetIpAddrTable;code;IPHLPAPI.DLL;
InternalGetIpForwardEntry2;code;IPHLPAPI.DLL;
InternalGetIpForwardTable;code;IPHLPAPI.DLL;
InternalGetIpInterfaceEntry;code;IPHLPAPI.DLL;
InternalGetIpInterfaceTable;code;IPHLPAPI.DLL;
InternalGetIpNetEntry2;code;IPHLPAPI.DLL;
InternalGetIpNetTable;code;IPHLPAPI.DLL;
InternalGetIpNetTable2;code;IPHLPAPI.DLL;
InternalGetMulticastIpAddressEntry;code;IPHLPAPI.DLL;
InternalGetMulticastIpAddressTable;code;IPHLPAPI.DLL;
InternalGetRtcSlotInformation;code;IPHLPAPI.DLL;
InternalGetTcp6Table2;code;IPHLPAPI.DLL;
InternalGetTcp6TableWithOwnerModule;code;IPHLPAPI.DLL;
InternalGetTcp6TableWithOwnerPid;code;IPHLPAPI.DLL;
InternalGetTcpDynamicPortRange;code;IPHLPAPI.DLL;
InternalGetTcpTable;code;IPHLPAPI.DLL;
InternalGetTcpTable2;code;IPHLPAPI.DLL;
InternalGetTcpTableEx;code;IPHLPAPI.DLL;
InternalGetTcpTableWithOwnerModule;code;IPHLPAPI.DLL;
InternalGetTcpTableWithOwnerPid;code;IPHLPAPI.DLL;
InternalGetTunnelPhysicalAdapter;code;IPHLPAPI.DLL;
InternalGetUdp6Table2;code;IPHLPAPI.DLL;
InternalGetUdp6TableWithOwnerModule;code;IPHLPAPI.DLL;
InternalGetUdp6TableWithOwnerPid;code;IPHLPAPI.DLL;
InternalGetUdpDynamicPortRange;code;IPHLPAPI.DLL;
InternalGetUdpTable;code;IPHLPAPI.DLL;
InternalGetUdpTable2;code;IPHLPAPI.DLL;
InternalGetUdpTableEx;code;IPHLPAPI.DLL;
InternalGetUdpTableWithOwnerModule;code;IPHLPAPI.DLL;
InternalGetUdpTableWithOwnerPid;code;IPHLPAPI.DLL;
InternalGetUnicastIpAddressEntry;code;IPHLPAPI.DLL;
InternalGetUnicastIpAddressTable;code;IPHLPAPI.DLL;
InternalIcmpCreateFileEx;code;IPHLPAPI.DLL;
InternalSetIfEntry;code;IPHLPAPI.DLL;
InternalSetIpForwardEntry;code;IPHLPAPI.DLL;
InternalSetIpForwardEntry2;code;IPHLPAPI.DLL;
InternalSetIpInterfaceEntry;code;IPHLPAPI.DLL;
InternalSetIpNetEntry;code;IPHLPAPI.DLL;
InternalSetIpNetEntry2;code;IPHLPAPI.DLL;
InternalSetIpStats;code;IPHLPAPI.DLL;
InternalSetTcpDynamicPortRange;code;IPHLPAPI.DLL;
InternalSetTcpEntry;code;IPHLPAPI.DLL;
InternalSetTeredoPort;code;IPHLPAPI.DLL;
InternalSetUdpDynamicPortRange;code;IPHLPAPI.DLL;
InternalSetUnicastIpAddressEntry;code;IPHLPAPI.DLL;
IpReleaseAddress;code;IPHLPAPI.DLL;
IpRenewAddress;code;IPHLPAPI.DLL;
LookupPersistentTcpPortReservation;code;IPHLPAPI.DLL;
LookupPersistentUdpPortReservation;code;IPHLPAPI.DLL;
NTPTimeToNTFileTime;code;IPHLPAPI.DLL;
NTTimeToNTPTime;code;IPHLPAPI.DLL;
NhGetGuidFromInterfaceName;code;IPHLPAPI.DLL;
NhGetInterfaceDescriptionFromGuid;code;IPHLPAPI.DLL;
NhGetInterfaceNameFromDeviceGuid;code;IPHLPAPI.DLL;
NhGetInterfaceNameFromGuid;code;IPHLPAPI.DLL;
NhpAllocateAndGetInterfaceInfoFromStack;code;IPHLPAPI.DLL;
NotifyAddrChange;code;IPHLPAPI.DLL;
NotifyCompartmentChange;code;IPHLPAPI.DLL;
NotifyIfTimestampConfigChange;code;IPHLPAPI.DLL;
NotifyIpInterfaceChange;code;IPHLPAPI.DLL;
NotifyNetworkConnectivityHintChange;code;IPHLPAPI.DLL;
NotifyRouteChange;code;IPHLPAPI.DLL;
NotifyRouteChange2;code;IPHLPAPI.DLL;
NotifyStableUnicastIpAddressTable;code;IPHLPAPI.DLL;
NotifyTeredoPortChange;code;IPHLPAPI.DLL;
NotifyUnicastIpAddressChange;code;IPHLPAPI.DLL;
OpenCompartment;code;IPHLPAPI.DLL;
ParseNetworkString;code;IPHLPAPI.DLL;
PfAddFiltersToInterface;code;IPHLPAPI.DLL;
PfAddGlobalFilterToInterface;code;IPHLPAPI.DLL;
PfBindInterfaceToIPAddress;code;IPHLPAPI.DLL;
PfBindInterfaceToIndex;code;IPHLPAPI.DLL;
PfCreateInterface;code;IPHLPAPI.DLL;
PfDeleteInterface;code;IPHLPAPI.DLL;
PfDeleteLog;code;IPHLPAPI.DLL;
PfGetInterfaceStatistics;code;IPHLPAPI.DLL;
PfMakeLog;code;IPHLPAPI.DLL;
PfRebindFilters;code;IPHLPAPI.DLL;
PfRemoveFilterHandles;code;IPHLPAPI.DLL;
PfRemoveFiltersFromInterface;code;IPHLPAPI.DLL;
PfRemoveGlobalFilterFromInterface;code;IPHLPAPI.DLL;
PfSetLogBuffer;code;IPHLPAPI.DLL;
PfTestPacket;code;IPHLPAPI.DLL;
PfUnBindInterface;code;IPHLPAPI.DLL;
RegisterInterfaceTimestampConfigChange;code;IPHLPAPI.DLL;
ResolveIpNetEntry2;code;IPHLPAPI.DLL;
ResolveNeighbor;code;IPHLPAPI.DLL;
RestoreMediaSense;code;IPHLPAPI.DLL;
SendARP;code;IPHLPAPI.DLL;
SetAdapterIpAddress;code;IPHLPAPI.DLL;
SetCurrentThreadCompartmentId;code;IPHLPAPI.DLL;
SetCurrentThreadCompartmentScope;code;IPHLPAPI.DLL;
SetDnsSettings;code;IPHLPAPI.DLL;
SetIfEntry;code;IPHLPAPI.DLL;
SetInterfaceDnsSettings;code;IPHLPAPI.DLL;
SetIpForwardEntry;code;IPHLPAPI.DLL;
SetIpForwardEntry2;code;IPHLPAPI.DLL;
SetIpInterfaceEntry;code;IPHLPAPI.DLL;
SetIpNetEntry;code;IPHLPAPI.DLL;
SetIpNetEntry2;code;IPHLPAPI.DLL;
SetIpStatistics;code;IPHLPAPI.DLL;
SetIpStatisticsEx;code;IPHLPAPI.DLL;
SetIpTTL;code;IPHLPAPI.DLL;
SetJobCompartmentId;code;IPHLPAPI.DLL;
SetNetworkInformation;code;IPHLPAPI.DLL;
SetPerTcp6ConnectionEStats;code;IPHLPAPI.DLL;
SetPerTcp6ConnectionStats;code;IPHLPAPI.DLL;
SetPerTcpConnectionEStats;code;IPHLPAPI.DLL;
SetPerTcpConnectionStats;code;IPHLPAPI.DLL;
SetSessionCompartmentId;code;IPHLPAPI.DLL;
SetTcpEntry;code;IPHLPAPI.DLL;
SetUnicastIpAddressEntry;code;IPHLPAPI.DLL;
UnenableRouter;code;IPHLPAPI.DLL;
UnregisterInterfaceTimestampConfigChange;code;IPHLPAPI.DLL;
if_indextoname;code;IPHLPAPI.DLL;
if_nametoindex;code;IPHLPAPI.DLL;
