Name;Type;DLL;SymbolOrOrdinal
SetLogFileSizeWithPolicy;code;clfsw32.dll;#SetLogFileSizeWithPolicy
TerminateLogArchive;code;clfsw32.dll;#TerminateLogArchive
TerminateReadLog;code;clfsw32.dll;#TerminateReadLog
TruncateLog;code;clfsw32.dll;#TruncateLog
ValidateLog;code;clfsw32.dll;#ValidateLog
WriteLogRestartArea;code;clfsw32.dll;#WriteLogRestartArea
LsnDecrement;code;clfsw32.dll;?LsnDecrement@@$$hYA?AT_CLS_LSN@@PEAT1@@Z (union _CLS_LSN __cdecl LsnDecrement(union _CLS_LSN *))
CLFS_LSN_INVALID;code;clfsw32.dll;CLFS_LSN_INVALID
CLFS_LSN_NULL;code;clfsw32.dll;CLFS_LSN_NULL
LsnDecrement;code;clfsw32.dll;?LsnDecrement@@YA?AT_CLS_LSN@@PEAT1@@Z (union _CLS_LSN __cdecl LsnDecrement(union _CLS_LSN *))
AddLogContainer;code;clfsw32.dll;
AddLogContainerSet;code;clfsw32.dll;
AdvanceLogBase;code;clfsw32.dll;
AlignReservedLog;code;clfsw32.dll;
AllocReservedLog;code;clfsw32.dll;
CLFS_LSN_INVALID;code;clfsw32.dll;
CLFS_LSN_NULL;code;clfsw32.dll;
CloseAndResetLogFile;code;clfsw32.dll;
CreateLogContainerScanContext;code;clfsw32.dll;
CreateLogFile;code;clfsw32.dll;
CreateLogMarshallingArea;code;clfsw32.dll;
DeleteLogByHandle;code;clfsw32.dll;
DeleteLogFile;code;clfsw32.dll;
DeleteLogMarshallingArea;code;clfsw32.dll;
DeregisterManageableLogClient;code;clfsw32.dll;
DumpLogRecords;code;clfsw32.dll;
FlushLogBuffers;code;clfsw32.dll;
FlushLogToLsn;code;clfsw32.dll;
FreeReservedLog;code;clfsw32.dll;
GetLogContainerName;code;clfsw32.dll;
GetLogFileInformation;code;clfsw32.dll;
GetLogIoStatistics;code;clfsw32.dll;
GetLogReservationInfo;code;clfsw32.dll;
GetNextLogArchiveExtent;code;clfsw32.dll;
HandleLogFull;code;clfsw32.dll;
InstallLogPolicy;code;clfsw32.dll;
LogTailAdvanceFailure;code;clfsw32.dll;
LsnBlockOffset;code;clfsw32.dll;
LsnContainer;code;clfsw32.dll;
LsnCreate;code;clfsw32.dll;
LsnEqual;code;clfsw32.dll;
LsnGreater;code;clfsw32.dll;
LsnIncrement;code;clfsw32.dll;
LsnInvalid;code;clfsw32.dll;
LsnLess;code;clfsw32.dll;
LsnNull;code;clfsw32.dll;
LsnRecordSequence;code;clfsw32.dll;
PrepareLogArchive;code;clfsw32.dll;
QueryLogPolicy;code;clfsw32.dll;
ReadLogArchiveMetadata;code;clfsw32.dll;
ReadLogNotification;code;clfsw32.dll;
ReadLogRecord;code;clfsw32.dll;
ReadLogRestartArea;code;clfsw32.dll;
ReadNextLogRecord;code;clfsw32.dll;
ReadPreviousLogRestartArea;code;clfsw32.dll;
RegisterForLogWriteNotification;code;clfsw32.dll;
RegisterManageableLogClient;code;clfsw32.dll;
RemoveLogContainer;code;clfsw32.dll;
RemoveLogContainerSet;code;clfsw32.dll;
RemoveLogPolicy;code;clfsw32.dll;
ReserveAndAppendLog;code;clfsw32.dll;
ReserveAndAppendLogAligned;code;clfsw32.dll;
ScanLogContainers;code;clfsw32.dll;
SetEndOfLog;code;clfsw32.dll;
SetLogArchiveMode;code;clfsw32.dll;
SetLogArchiveTail;code;clfsw32.dll;
SetLogFileSizeWithPolicy;code;clfsw32.dll;
TerminateLogArchive;code;clfsw32.dll;
TerminateReadLog;code;clfsw32.dll;
TruncateLog;code;clfsw32.dll;
ValidateLog;code;clfsw32.dll;
WriteLogRestartArea;code;clfsw32.dll;
