Name;Type;DLL;SymbolOrOrdinal
RsopLoggingEnabled;code;USERENV.dll;?RsopLoggingEnabled@@YAHXZ (int __cdecl RsopLoggingEnabled(void))
AreThereVisibleLogoffScripts;code;USERENV.dll;
AreThereVisibleShutdownScripts;code;USERENV.dll;
CheckDirectoryOwnership;code;USERENV.dll;203
CheckXForestLogon;code;USERENV.dll;175
CopyProfileDirectoryEx2;code;USERENV.dll;209
CreateAppContainerProfile;code;USERENV.dll;
CreateAppContainerProfileInternal;code;USERENV.dll;212
CreateDirectoryJunctionsForSystem;code;USERENV.dll;206
CreateDirectoryJunctionsForUserProfile;code;USERENV.dll;207
CreateEnvironmentBlock;code;USERENV.dll;
CreateGroupEx;code;USERENV.dll;137
CreateLinkFileEx;code;USERENV.dll;139
CreateProfile;code;USERENV.dll;
DeleteAppContainerProfile;code;USERENV.dll;
DeleteAppContainerProfileInternal;code;USERENV.dll;213
DeleteGroup;code;USERENV.dll;104
DeleteLinkFile;code;USERENV.dll;122
DeleteProfileA;code;USERENV.dll;
DeleteProfileDirectory;code;USERENV.dll;202
DeleteProfileW;code;USERENV.dll;
DeriveAppContainerSidFromAppContainerName;code;USERENV.dll;
DeriveRestrictedAppContainerSidFromAppContainerSidAndRestrictedName;code;USERENV.dll;
DestroyEnvironmentBlock;code;USERENV.dll;
EnterCriticalPolicySection;code;USERENV.dll;
ExpandEnvironmentStringsForUserA;code;USERENV.dll;
ExpandEnvironmentStringsForUserW;code;USERENV.dll;
ForceSyncFgPolicy;code;USERENV.dll;
FreeGPOListA;code;USERENV.dll;
FreeGPOListW;code;USERENV.dll;
GenerateGPNotification;code;USERENV.dll;
GetAllUsersProfileDirectoryA;code;USERENV.dll;
GetAllUsersProfileDirectoryW;code;USERENV.dll;
GetAppContainerFolderPath;code;USERENV.dll;
GetAppContainerRegistryLocation;code;USERENV.dll;
GetAppliedGPOListA;code;USERENV.dll;
GetAppliedGPOListW;code;USERENV.dll;
GetDefaultUserProfileDirectoryA;code;USERENV.dll;
GetDefaultUserProfileDirectoryW;code;USERENV.dll;
GetGPOListA;code;USERENV.dll;
GetGPOListW;code;USERENV.dll;
GetLongProfilePathName;code;USERENV.dll;214
GetNextFgPolicyRefreshInfo;code;USERENV.dll;
GetPreviousFgPolicyRefreshInfo;code;USERENV.dll;
GetProfileType;code;USERENV.dll;
GetProfilesDirectoryA;code;USERENV.dll;
GetProfilesDirectoryW;code;USERENV.dll;
GetUserProfileDirectoryA;code;USERENV.dll;
GetUserProfileDirectoryForUserSidW;code;USERENV.dll;217
GetUserProfileDirectoryW;code;USERENV.dll;
HasPolicyForegroundProcessingCompleted;code;USERENV.dll;
LeaveCriticalPolicySection;code;USERENV.dll;
LoadUserProfileA;code;USERENV.dll;
LoadUserProfileW;code;USERENV.dll;
LookupAppContainerDisplayName;code;USERENV.dll;211
PingComputer;code;USERENV.dll;135
ProcessGroupPolicyCompleted;code;USERENV.dll;
ProcessGroupPolicyCompletedEx;code;USERENV.dll;
RefreshPolicy;code;USERENV.dll;
RefreshPolicyEx;code;USERENV.dll;
RegisterGPNotification;code;USERENV.dll;
RemapProfile;code;USERENV.dll;208
RsopAccessCheckByType;code;USERENV.dll;
RsopFileAccessCheck;code;USERENV.dll;
RsopResetPolicySettingStatus;code;USERENV.dll;
RsopSetPolicySettingStatus;code;USERENV.dll;
UnloadUserProfile;code;USERENV.dll;
UnregisterGPNotification;code;USERENV.dll;
UpdateAppContainerProfile;code;USERENV.dll;210
WaitForMachinePolicyForegroundProcessing;code;USERENV.dll;
WaitForUserPolicyForegroundProcessing;code;USERENV.dll;
